LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID36352,36352,0,3987.0,221.1922884012539,422.9188923719958,0.0,16.0,16,35.62668481851581,1,,5.969909729187563,6.0,0.0,6.0,23808.0,0.42388825881066566,,,0.995807134935818,14.054099870287796,1.6701085231395334,0.7151350049365461,41.271676804928255,33.31533983636091,-0.9798419749771371,1.238819024738978,3987.499999999998,263.38550650066594,0.7223152997376987,0.8964703237410065,4.171012823171689
ID36864,36864,0,3591.0,71.41252955082743,207.54051360496916,0.0,95.0,95,33.83021128775018,1,,3.975501113585746,4.0,0.0,4.0,14280.0,0.3121257315419543,,,0.9333505008717082,12.297772976923705,4.068554300885813,0.9346503500503857,41.10599222795085,30.24639879071525,2.687447467307133,1.359037567162183,3595.500000000001,318.8158606818612,0.44451796695859885,0.7280550774526682,5.316921793262642
ID36610,36610,0,3571.0,144.01930709249663,280.6065508708036,0.0,60.0,60,33.70767180825518,1,,3.986550854581115,4.0,0.0,4.0,14228.0,0.23158309304739091,,,0.9960692646245957,17.18044411159669,1.831824036458124,1.2550985851121523,37.96458479230728,32.523312282296686,0.1512753002865297,1.1673037623837723,3569.5,261.11856506238996,0.6578725252999807,0.8785380260890968,4.37052951379033
ID36360,36360,0,3031.0,202.04629476811354,383.5673928591077,0.0,28.0,28,31.053499000817826,1,,4.970287223506108,5.0,0.0,5.0,15055.0,0.3843563518273935,,,1.0055512342635153,12.967249347699099,-2.019409472718745,6.730786058384266,44.88701888333463,27.28567902259851,1.9780679507094845,1.645076116528321,3029.499999999999,290.97951552576603,0.44963073261935205,0.745447834645669,5.286605920997383
ID36872,36872,0,3342.0,50.411184210526315,204.5275119617225,0.0,100.0,100,32.62557676729402,1,,3.982073498655512,4.0,0.0,4.0,13328.0,0.2672189743465929,,,0.866991819052038,13.840269893376812,3.193836351894024,2.6090865602692874,42.742402737698,27.193338734256823,0.5547953465688642,1.5717967975684146,3343.9999999999973,286.8784616752958,0.5105993363126684,0.8042328042328034,4.96094953281129
ID36367,36367,0,3066.0,200.81441500381638,375.66535819430817,0.0,29.0,29,31.19412319754875,1,,4.975442043222004,5.0,0.0,5.0,15195.0,0.34960937128913705,,,0.996496222489872,14.206456500128773,-1.2594457525150295,1.5244699890729385,37.347193972549306,28.183444917723516,-0.9245532908359667,1.3251465206463475,3057.0000000000027,259.88890067761895,0.5687610386118004,0.8436594452877059,4.700456227393243
ID36624,36624,0,4835.0,144.01883336788998,271.3752850922662,0.0,65.0,65,39.181737851509624,1,,3.9850684363334716,4.0,0.0,4.0,19216.0,0.24395828658913862,,,0.9958460238844725,16.301041975240082,-1.3780082867849552,0.9655047956502747,56.11913477018976,29.03692486425888,2.9900366305339374,1.9326817503070366,4822.999999999999,341.2288149037688,0.5205179734654336,0.8038333333333332,4.913455949928833
